city,lat,lng,country,population,state
Guangzhou,23.13,113.26,China,26940000,
Shanghai,31.1667,121.4667,China,24073000,
Seoul,37.56,126.99,South Korea,23016000,
Mexico City,19.4333,-99.1333,Mexico,21804000,
Cairo,30.0444,31.2358,Egypt,20296000,
New York,40.6943,-73.9249,USA,18713220,NY
Beijing,39.904,116.4075,China,18522000,
Bangkok,13.7525,100.4942,Thailand,18007000,
Shenzhen,22.535,114.054,China,17619000,
Moscow,55.7558,37.6178,Russia,17332000,
Buenos Aires,-34.5997,-58.3819,Argentina,16710000,
Istanbul,41.0136,28.955,Turkey,16079000,
Ho Chi Minh City,10.7756,106.7019,Vietnam,15136000,
Los Angeles,34.1139,-118.4068,USA,12750807,CA
Rio de Janeiro,-22.9111,-43.2056,Brazil,12592000,
London,51.5072,-0.1275,UK,11262000,
Paris,48.8567,2.3522,France,11060000,
Taipei,25.0375,121.5625,Taiwan,9078000,
Chicago,41.8373,-87.6862,USA,8604203,IL
Hong Kong,22.3,114.2,Hong Kong,7450000,
Santiago,-33.4372,-70.6506,Chile,7171000,
Miami,25.7839,-80.2102,USA,6445545,FL
Madrid,40.4169,-3.7033,Spain,6211000,
Singapore,1.3,103.8,Singapore,5983000,
Dallas,32.7936,-96.7662,USA,5743938,TX
Philadelphia,40.0077,-75.1339,USA,5649300,PA
Houston,29.7863,-95.3889,USA,5464251,TX
Atlanta,33.7627,-84.4224,USA,5449398,GA
Toronto,43.7417,-79.3733,Canada,5429524,
Saint Petersburg,59.95,30.3167,Russia,5384342,
Washington,38.9047,-77.0163,USA,5379184,DC
Sydney,-33.8678,151.21,Australia,4840600,
Barcelona,41.3825,2.1769,Spain,4800000,
Boston,42.3188,-71.0846,USA,4688346,MA
Melbourne,-37.8142,144.9631,Australia,4529500,
Berlin,52.52,13.405,Germany,4473101,
Phoenix,33.5722,-112.0891,USA,4219697,AZ
Seattle,47.6211,-122.3244,USA,3789215,WA
San Francisco,37.7562,-122.443,USA,3592294,CA
Montréal,45.5089,-73.5617,Canada,3519595,
Detroit,42.3834,-83.1024,USA,3506126,MI
Dubai,25.2631,55.2972,United Arab Emirates,3331420,
San Diego,32.8312,-117.1225,USA,3220118,CA
Athens,37.9842,23.7281,Greece,3041131,
Minneapolis,44.9635,-93.2678,USA,2977172,MN
Tampa,27.9942,-82.4451,USA,2908063,FL
Denver,39.7621,-104.8759,USA,2876625,CO
Rome,41.8931,12.4828,Italy,2872800,
Stuttgart,48.7775,9.18,Germany,2787724,
Manchester,53.4794,-2.2453,UK,2705000,
Munich,48.1375,11.575,Germany,2606021,
Hamburg,53.55,10,Germany,2484800,
Brisbane,-27.4678,153.0281,Australia,2360241,
Vancouver,49.25,-123.1,Canada,2264823,
Perth,-31.9559,115.8606,Australia,2141834,
Havana,23.1367,-82.3589,Cuba,2141652,
Baltimore,39.3051,-76.6144,USA,2106068,MD
Las Vegas,36.2333,-115.2654,USA,2104198,NV
Portland,45.5372,-122.65,USA,2074775,OR
San Antonio,29.4658,-98.5253,USA,2049293,TX
St. Louis,38.6358,-90.2451,USA,2024074,MO
Vienna,48.2083,16.3725,Austria,1973403,
Bucharest,44.4325,26.1039,Romania,1883425,
Warsaw,52.23,21.0111,Poland,1860281,
Orlando,28.4772,-81.3369,USA,1822394,FL
Brussels,50.8467,4.3525,Belgium,1743000,
Cleveland,41.4767,-81.6804,USA,1710093,OH
Pittsburgh,40.4396,-79.9762,USA,1703266,PA
Austin,30.3004,-97.7522,USA,1687311,TX
Cincinnati,39.1413,-84.5061,USA,1662691,OH
Kansas City,39.1239,-94.5541,USA,1636715,MO
Stockholm,59.3294,18.0686,Sweden,1611776,
Indianapolis,39.7771,-86.1458,USA,1588961,IN
Columbus,39.9862,-82.985,USA,1562009,OH
Charlotte,35.208,-80.8304,USA,1512923,NC
Abu Dhabi,24.4667,54.3667,United Arab Emirates,1483000,
Amsterdam,52.3728,4.8936,Netherlands,1459402,
Belgrade,44.82,20.46,Serbia,1378682,
Copenhagen,55.6761,12.5683,Denmark,1366301,
Milan,45.4669,9.19,Italy,1366180,
Milwaukee,43.0642,-87.9673,USA,1365787,WI
Auckland,-36.8406,174.74,New Zealand,1346091,
Prague,50.0875,14.4214,Czechia,1335084,
Helsinki,60.1708,24.9375,Finland,1268296,
Calgary,51.05,-114.0667,Canada,1239220,
Providence,41.823,-71.4187,USA,1203230,RI
Jacksonville,30.3322,-81.6749,USA,1181496,FL
Dublin,53.35,-6.2603,Ireland,1173179,
Sevilla,37.24,-5.99,Spain,1100000,
Salt Lake City,40.7777,-111.9306,USA,1098526,UT
Cologne,50.9364,6.9528,Germany,1083498,
Nashville,36.1715,-86.7843,USA,1081903,TN
Memphis,35.1046,-89.9773,USA,1066967,TN
New Orleans,30.0687,-89.9288,USA,1020886,LA
Naples,40.8333,14.25,Italy,966144,
Tucson,32.1545,-110.8782,USA,888486,AZ
Turin,45.0792,7.6761,Italy,870952,
Marseille,43.2964,5.37,France,870731,
Liverpool,53.4075,-2.9919,UK,864122,
Omaha,41.2627,-96.0522,USA,847819,NE
Honolulu,21.3294,-157.846,USA,820987,HI
Zagreb,45.8167,15.9833,Croatia,809268,
Kraków,50.0614,19.9372,Poland,800653,
Valencia,39.47,-0.3764,Spain,792492,
Bilbao,43.2569,-2.9236,Spain,775000,
Frankfurt,50.1106,8.6822,Germany,764104,
Birmingham,33.5277,-86.7987,USA,739573,AL
Quebec City,46.8139,-71.2081,Canada,705103,
Palermo,38.1157,13.3613,Italy,668405,
Düsseldorf,51.2333,6.7833,Germany,645923,
Rotterdam,51.9167,4.5,Netherlands,631155,
Glasgow,55.8611,-4.25,UK,626410,
Leipzig,51.34,12.375,Germany,615081,
Gothenburg,57.7075,11.9675,Sweden,607882,
Dortmund,51.5167,7.4667,Germany,587696,
Palma,39.5667,2.65,Spain,550000,
The Hague,52.08,4.31,Netherlands,548320,
Antwerp,51.2178,4.4003,Belgium,529247,
Nuremberg,49.4539,11.0775,Germany,515543,
Edinburgh,55.9533,-3.1892,UK,488050,
Cardiff,51.4817,-3.1792,UK,479000,
Zürich,47.3744,8.5411,Switzerland,436332,
Cape Town,-33.9253,18.4239,South Africa,433688,
Christchurch,-43.531,172.6365,New Zealand,383200,
Florence,43.7714,11.2542,Italy,380948,
Belfast,54.5964,-5.93,UK,333871,
Venice,45.438759,12.327145,Italy,261905,
Geneva,46.2017,6.1469,Switzerland,201818,